index,team_id,score,TeamCapture,NonTeamCapture,job_num,task_num,results_dir,num_rows,align_weight_t_1,autonomy_t_1,avoid_nonteam_weight_t_1,avoid_team_weight_t_1,centroid_weight_t_1,comms_range_t_1,fov_az_t_1,fov_el_t_1,goal_weight_t_1,max_speed_t_1,sphere_of_influence_t_1,motion_model_t_1,turn_rate_max_t_1,vel_max_t_1,motion_model_predator,pitch_rate_max_predator,turn_rate_max_predator,vel_max_predator,allow_prey_switching_t_2_predator,autonomy_t_2_predator,max_speed_t_2_predator
0,1,0.0,0.0,0.0,42260,10,2018-04-24_23-57-29_job_42260_task_10,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
1,2,35.0,0.0,35.0,42260,10,2018-04-24_23-57-29_job_42260_task_10,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
2,1,0.0,0.0,0.0,42260,11,2018-04-24_23-57-29_job_42260_task_11,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
3,2,10.0,0.0,10.0,42260,11,2018-04-24_23-57-29_job_42260_task_11,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
4,1,0.0,0.0,0.0,42260,12,2018-04-24_23-57-29_job_42260_task_12,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
5,2,35.0,0.0,35.0,42260,12,2018-04-24_23-57-29_job_42260_task_12,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
6,1,0.0,0.0,0.0,42260,13,2018-04-24_23-57-29_job_42260_task_13,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
7,2,32.0,0.0,32.0,42260,13,2018-04-24_23-57-29_job_42260_task_13,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
8,1,0.0,0.0,0.0,42260,14,2018-04-24_23-57-29_job_42260_task_14,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
9,2,4.0,0.0,4.0,42260,14,2018-04-24_23-57-29_job_42260_task_14,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
10,1,0.0,0.0,0.0,42260,15,2018-04-24_23-57-29_job_42260_task_15,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
11,2,7.0,0.0,7.0,42260,15,2018-04-24_23-57-29_job_42260_task_15,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
12,1,0.0,0.0,0.0,42260,16,2018-04-24_23-57-29_job_42260_task_16,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
13,2,27.0,0.0,27.0,42260,16,2018-04-24_23-57-29_job_42260_task_16,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
14,1,0.0,0.0,0.0,42260,17,2018-04-24_23-57-29_job_42260_task_17,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
15,2,38.0,0.0,38.0,42260,17,2018-04-24_23-57-29_job_42260_task_17,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
16,1,0.0,0.0,0.0,42260,18,2018-04-24_23-57-29_job_42260_task_18,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
17,2,4.0,0.0,4.0,42260,18,2018-04-24_23-57-29_job_42260_task_18,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
18,1,0.0,0.0,0.0,42260,19,2018-04-24_23-57-29_job_42260_task_19,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
